id,created_at,buyer,seller,trade_type,btc_amount,btc_traded,fee_btc,btc_amount_less_fee,btc_final,fiat_amount,fiat_fee,fiat_per_btc,currency,exchange_rate,transaction_released_at,online_provider,reference
67687,2013-08-08 22:36:53+00:00,Drquest777,MMattLeeE,LOCAL_SELL,6.47030000,6.47030000,0E-8,6.47030000,6.47030000,670.00,0.00,103.55,USD,103.55,,,L67687B1G87
71693,2013-08-17 16:48:03+00:00,Cmac7,MMattLeeE,LOCAL_SELL,3.30000000,3.30000000,0E-8,3.30000000,3.30000000,367.32,0.00,111.31,USD,111.31,,,L71693B1JBH
71735,2013-08-17 18:43:11+00:00,elgordo,MMattLeeE,LOCAL_SELL,3.15140000,3.15140000,0E-8,3.15140000,3.15140000,350.00,0.00,111.06,USD,111.06,,,L71735B1JCN
72010,2013-08-18 11:54:16+00:00,Jwallthemonster,MMattLeeE,LOCAL_SELL,1.78600000,1.78600000,0E-8,1.78600000,1.78600000,200.00,0.00,111.98,USD,111.98,,,L72010B1JKA
72671,2013-08-19 14:04:48+00:00,saturndevouring,MMattLeeE,LOCAL_SELL,4.27970000,4.27970000,0E-8,4.27970000,4.27970000,500.00,0.00,116.83,USD,116.83,,,L72671B1K2N
72683,2013-08-19 14:11:03+00:00,saturndevouring,MMattLeeE,LOCAL_SELL,4.27280000,4.27280000,0E-8,4.27280000,4.27280000,500.00,0.00,117.02,USD,117.02,,,L72683B1K2Z
74109,2013-08-20 04:58:48+00:00,Gwiz8963,MMattLeeE,LOCAL_SELL,1.67130000,1.67130000,0E-8,1.67130000,1.67130000,200.00,0.00,119.67,USD,119.67,,,L74109B1L6L
88939,2013-08-29 17:45:02+00:00,strikethrough,MMattLeeE,LOCAL_SELL,2.35280000,2.35280000,0E-8,2.35280000,2.35280000,300.00,0.00,127.51,USD,127.51,,,L88939B1WMJ
88793,2013-08-29 16:19:48+00:00,strikethrough,MMattLeeE,LOCAL_SELL,2.33300000,2.33300000,0E-8,2.33300000,2.33300000,300.00,0.00,128.59,USD,128.59,,,L88793B1WIH
122518,2013-09-20 08:36:19+00:00,MMattLeeE,sderek114,ONLINE_SELL,10.07390000,10.07390000,0.00,10.07390000,10.07390000,1348.90,0.00,133.90,USD,133.90,2013-09-20 08:43:43+00:00,,L122518B2MJA
129070,2013-09-24 15:18:08+00:00,subway,MMattLeeE,LOCAL_SELL,3.03828200,3.00820000,0.03008200,3.00820000,3.03828200,400.00,3.96,132.97,USD,132.97,,,L129070B2RLA
193772,2013-11-03 20:21:36+00:00,Cherylsin12,MMattLeeE,LOCAL_SELL,1.38410400,1.37040000,0.01370400,1.37040000,1.38410400,300.00,2.97,218.91,USD,218.91,,,L193772B45IK
200195,2013-11-06 12:56:24+00:00,Sumer54,MMattLeeE,LOCAL_SELL,1.94253300,1.92330000,0.01923300,1.92330000,1.94253300,500.00,4.95,259.97,USD,259.97,,,L200195B4AGZ
193027,2013-11-03 01:17:57+00:00,behosi,MMattLeeE,LOCAL_SELL,1.18927500,1.17750000,0.01177500,1.17750000,1.18927500,250.00,2.48,212.31,USD,212.31,,,L193027B44XV
364657,2014-01-05 05:02:29+00:00,MMattLeeE,torchventures,ONLINE_SELL,0.22760000,0.22760000,0.00,0.22760000,0.22760000,200.00,0.00,878.73,USD,878.73,,CASH_DEPOSIT,L364657B7TDD
364677,2014-01-05 05:20:07+00:00,MMattLeeE,BitconWholesale,ONLINE_SELL,0.13580000,0.13580000,0.00,0.13580000,0.13580000,120.00,0.00,883.65,USD,883.65,,CASH_DEPOSIT,L364677B7TDX
364678,2014-01-05 05:20:47+00:00,MMattLeeE,BitconWholesale,ONLINE_SELL,0.11320000,0.11320000,0.00,0.11320000,0.11320000,100.00,0.00,883.39,USD,883.39,,CASH_DEPOSIT,L364678B7TDY
366152,2014-01-05 22:05:38+00:00,MMattLeeE,sneakgeekz,ONLINE_SELL,0.10360000,0.10360000,0.00,0.10360000,0.10360000,100.00,0.00,965.25,USD,965.25,,CASH_DEPOSIT,L366152B7UIW
366190,2014-01-05 22:25:09+00:00,MMattLeeE,sderek114,ONLINE_SELL,0.05950000,0.05950000,0.00,0.05950000,0.05950000,50.00,0.00,840.34,USD,840.34,,CASH_DEPOSIT,L366190B7UJY
366201,2014-01-05 22:29:20+00:00,MMattLeeE,sderek114,ONLINE_SELL,0.05950000,0.05950000,0.00,0.05950000,0.05950000,50.00,0.00,840.34,USD,840.34,,CASH_DEPOSIT,L366201B7UK9
366205,2014-01-05 22:30:47+00:00,MMattLeeE,sderek114,ONLINE_SELL,0.07140000,0.07140000,0.00,0.07140000,0.07140000,60.00,0.00,840.34,USD,840.34,,CASH_DEPOSIT,L366205B7UKD
366207,2014-01-05 22:31:16+00:00,MMattLeeE,sderek114,ONLINE_SELL,0.08330000,0.08330000,0.00,0.08330000,0.08330000,70.00,0.00,840.34,USD,840.34,,CASH_DEPOSIT,L366207B7UKF
366964,2014-01-06 07:10:06+00:00,MMattLeeE,sderek114,ONLINE_SELL,0.05950000,0.05950000,0.00,0.05950000,0.05950000,50.00,0.00,840.34,USD,840.34,2014-01-06 07:52:16+00:00,CASH_DEPOSIT,L366964B7V5G
147214,2013-10-04 16:44:35+00:00,Sckull5,MMattLeeE,LOCAL_SELL,0.37370000,0.37000000,0.00370000,0.37000000,0.37370000,50.00,0.50,135.14,USD,135.14,,,L147214B35LA
128338,2013-09-24 03:05:19+00:00,Sckull5,MMattLeeE,LOCAL_SELL,1.33885600,1.32560000,0.01325600,1.32560000,1.33885600,175.00,1.73,132.02,USD,132.02,,,L128338B2R0Y
110850,2013-09-12 20:47:53+00:00,derlane23,MMattLeeE,LOCAL_SELL,18.08869600,17.90960000,0.17909600,17.90960000,18.08869600,2500.00,24.75,139.59,USD,139.59,,,L110850B2DJ6
22939309,2018-06-06 20:45:44+00:00,MMattLeeE,olegolegov10,ONLINE_BUY,0.00022727,0.00022727,0.00000227,0.00022500,0.00022500,100.00,1.00,444444.44,RUB,440005.28,2018-06-06 20:46:25+00:00,SPECIFIC_BANK,L22939309BDNO31
22939406,2018-06-06 20:48:11+00:00,MMattLeeE,Singam3,ONLINE_BUY,0.00022727,0.00022727,0.00000227,0.00022500,0.00022500,100.00,1.00,444444.44,RUB,440005.28,2018-06-06 20:49:37+00:00,SPECIFIC_BANK,L22939406BDNO5Q
22943091,2018-06-06 22:29:28+00:00,MMattLeeE,Borodachuk,ONLINE_BUY,0.00331220,0.00331220,0.00003312,0.00327908,0.00327908,1457.37,14.57,444444.78,RUB,440000.60,,SPECIFIC_BANK,L22943091BDNR03
22943720,2018-06-06 22:48:25+00:00,MMattLeeE,t1wan,ONLINE_BUY,0.00940000,0.00940000,0.00009400,0.00930600,0.00930600,4136.00,41.36,444444.44,RUB,440000.00,,SPECIFIC_BANK,L22943720BDNRHK
22945552,2018-06-06 23:54:56+00:00,MMattLeeE,mcmova,ONLINE_BUY,0.00044716,0.00044716,0.00000447,0.00044269,0.00044269,196.75,1.97,444441.93,RUB,439999.11,,SPECIFIC_BANK,L22945552BDNSWG
23309256,2018-06-13 16:42:12+00:00,MMattLeeE,VolodiaKvadrat,ONLINE_BUY,0.01059113,0.01059113,0.00010591,0.01048522,0.01048522,4300.00,43.00,410101.08,RUB,406000.12,2018-06-13 16:45:20+00:00,SPECIFIC_BANK,L23309256BDVLJC
23311937,2018-06-13 17:22:45+00:00,squaiz13,MMattLeeE,ONLINE_SELL,0.05025603,0.04975845,0.00049758,0.04975845,0.05025603,20600.00,203.96,414000.03,RUB,414000.03,2018-06-13 17:26:28+00:00,SPECIFIC_BANK,L23311937BDVNLT
23312729,2018-06-13 17:34:57+00:00,MMattLeeE,Rustamhz,ONLINE_BUY,0.10794045,0.10794045,0.00107940,0.10686105,0.10686105,43500.00,435.00,407070.68,RUB,402999.99,2018-06-13 17:38:25+00:00,SPECIFIC_BANK,L23312729BDVO7T
23312882,2018-06-13 17:37:42+00:00,MMattLeeE,Bitcoinvp,ONLINE_BUY,0.18000000,0.18000000,0.00180000,0.17820000,0.17820000,72540.00,725.40,407070.71,RUB,403000.00,2018-06-13 17:44:55+00:00,SPECIFIC_BANK,L23312882BDVOC2
23313386,2018-06-13 17:45:26+00:00,gribochek1812,MMattLeeE,ONLINE_SELL,0.04585424,0.04540024,0.00045400,0.04540024,0.04585424,19000.00,188.12,418499.99,RUB,418499.99,,SPECIFIC_BANK,L23313386BDVOQ2
23313378,2018-06-13 17:45:16+00:00,Kirill007,MMattLeeE,ONLINE_SELL,0.01505949,0.01491039,0.00014910,0.01491039,0.01505949,6240.00,61.78,418500.12,RUB,418500.12,2018-06-13 17:48:08+00:00,SPECIFIC_BANK,L23313378BDVOPU
23313473,2018-06-13 17:46:38+00:00,Alavla,MMattLeeE,ONLINE_SELL,0.02823656,0.02795699,0.00027957,0.02795699,0.02823656,11700.00,115.84,418499.99,RUB,418499.99,2018-06-13 17:52:38+00:00,SPECIFIC_BANK,L23313473BDVOSH
23313913,2018-06-13 17:53:10+00:00,Pipka,MMattLeeE,ONLINE_SELL,0.03137395,0.03106332,0.00031063,0.03106332,0.03137395,13000.00,128.71,418500.02,RUB,418500.02,2018-06-13 17:57:00+00:00,SPECIFIC_BANK,L23313913BDVP4P
23313340,2018-06-13 17:44:41+00:00,Mr.TukTuk,MMattLeeE,ONLINE_SELL,0.06040670,0.05980861,0.00059809,0.05980861,0.06040670,25000.00,247.53,418000.02,RUB,418000.02,2018-06-13 17:59:11+00:00,SPECIFIC_BANK,L23313340BDVOOS
23313863,2018-06-13 17:52:29+00:00,katrinKT,MMattLeeE,ONLINE_SELL,0.01206690,0.01194743,0.00011947,0.01194743,0.01206690,5000.00,49.50,418500.05,RUB,418500.05,2018-06-13 18:00:10+00:00,SPECIFIC_BANK,L23313863BDVP3B
23314042,2018-06-13 17:55:07+00:00,aaaaaa111111,MMattLeeE,ONLINE_SELL,0.01448029,0.01433692,0.00014337,0.01433692,0.01448029,6000.00,59.41,418499.93,RUB,418499.93,2018-06-13 18:00:53+00:00,SPECIFIC_BANK,L23314042BDVP8A
23314046,2018-06-13 17:55:12+00:00,GodForBTC,MMattLeeE,ONLINE_SELL,0.01496296,0.01481481,0.00014815,0.01481481,0.01496296,6200.00,61.39,418500.14,RUB,418500.14,2018-06-13 18:01:30+00:00,SPECIFIC_BANK,L23314046BDVP8E
23314443,2018-06-13 18:01:48+00:00,MoloTCryptoMaxon,MMattLeeE,ONLINE_SELL,0.06060000,0.06000000,0.00060000,0.06000000,0.06060000,25110.00,248.61,418500.00,RUB,418500.00,2018-06-13 18:10:59+00:00,SPECIFIC_BANK,L23314443BDVPJF
23313408,2018-06-13 17:45:45+00:00,Ebawka111,MMattLeeE,ONLINE_SELL,0.01206690,0.01194743,0.00011947,0.01194743,0.01206690,5000.00,49.50,418500.05,RUB,418500.05,,SPECIFIC_BANK,L23313408BDVOQO
23316665,2018-06-13 18:38:05+00:00,MMattLeeE,Bitcoinvp,ONLINE_BUY,0.18960000,0.18960000,0.00189600,0.18770400,0.18770400,76901.76,769.02,409696.97,RUB,405600.00,2018-06-13 18:45:26+00:00,SPECIFIC_BANK,L23316665BDVR95
23317107,2018-06-13 18:45:54+00:00,simebro,MMattLeeE,ONLINE_SELL,0.01531754,0.01516588,0.00015166,0.01516588,0.01531754,6400.00,63.37,421999.91,RUB,421999.91,2018-06-13 18:51:56+00:00,SPECIFIC_BANK,L23317107BDVRLF
23317238,2018-06-13 18:48:31+00:00,jumpmf,MMattLeeE,ONLINE_SELL,0.01316351,0.01303318,0.00013033,0.01303318,0.01316351,5500.00,54.45,421999.85,RUB,421999.85,2018-06-13 18:53:13+00:00,SPECIFIC_BANK,L23317238BDVRP2
23317374,2018-06-13 18:51:04+00:00,Cheharda,MMattLeeE,ONLINE_SELL,0.01244549,0.01232227,0.00012322,0.01232227,0.01244549,5200.00,51.48,422000.17,RUB,422000.17,2018-06-13 18:55:27+00:00,SPECIFIC_BANK,L23317374BDVRSU
23317140,2018-06-13 18:46:30+00:00,biruk8244,MMattLeeE,ONLINE_SELL,0.01196682,0.01184834,0.00011848,0.01184834,0.01196682,5000.00,49.50,422000.04,RUB,422000.04,2018-06-13 18:55:58+00:00,SPECIFIC_BANK,L23317140BDVRMC
23317690,2018-06-13 18:56:48+00:00,Philosophie,MMattLeeE,ONLINE_SELL,0.01313000,0.01300000,0.00013000,0.01300000,0.01313000,5495.10,54.41,422700.00,RUB,422700.00,,SPECIFIC_BANK,L23317690BDVS1M
23317654,2018-06-13 18:56:17+00:00,21819,MMattLeeE,ONLINE_SELL,0.01194701,0.01182872,0.00011829,0.01182872,0.01194701,5000.00,49.51,422700.00,RUB,422700.00,2018-06-13 18:58:52+00:00,SPECIFIC_BANK,L23317654BDVS0M
23317320,2018-06-13 18:49:57+00:00,NooBik1990,MMattLeeE,ONLINE_SELL,0.01292417,0.01279621,0.00012796,0.01279621,0.01292417,5400.00,53.46,421999.95,RUB,421999.95,,SPECIFIC_BANK,L23317320BDVRRC
23317955,2018-06-13 19:01:58+00:00,Vss89,MMattLeeE,ONLINE_SELL,0.03345162,0.03312042,0.00033120,0.03312042,0.03345162,14000.00,138.61,422699.95,RUB,422699.95,,SPECIFIC_BANK,L23317955BDVS8Z
23317917,2018-06-13 19:01:12+00:00,Ilnar14,MMattLeeE,ONLINE_SELL,0.01194701,0.01182872,0.00011829,0.01182872,0.01194701,5000.00,49.51,422700.00,RUB,422700.00,2018-06-13 19:03:20+00:00,SPECIFIC_BANK,L23317917BDVS7X
23318240,2018-06-13 19:06:47+00:00,nickyhuiki,MMattLeeE,ONLINE_SELL,0.01672581,0.01656021,0.00016560,0.01656021,0.01672581,7000.00,69.31,422699.95,RUB,422699.95,2018-06-13 19:09:47+00:00,SPECIFIC_BANK,L23318240BDVSGW
23318087,2018-06-13 19:04:02+00:00,Yarikvodila228,MMattLeeE,ONLINE_SELL,0.01532170,0.01517000,0.00015170,0.01517000,0.01532170,6412.36,63.49,422700.07,RUB,422700.07,2018-06-13 19:10:27+00:00,SPECIFIC_BANK,L23318087BDVSCN
23318326,2018-06-13 19:08:28+00:00,Fffrik,MMattLeeE,ONLINE_SELL,0.02174355,0.02152827,0.00021528,0.02152827,0.02174355,9100.00,90.10,422700.01,RUB,422700.01,2018-06-13 19:12:26+00:00,SPECIFIC_BANK,L23318326BDVSJA
23313321,2018-06-13 17:44:21+00:00,Parovozow,MMattLeeE,ONLINE_SELL,0.01208134,0.01196172,0.00011962,0.01196172,0.01208134,5000.00,49.51,418000.09,RUB,418000.09,,SPECIFIC_BANK,L23313321BDVOO9
23318126,2018-06-13 19:04:35+00:00,Puttic,MMattLeeE,ONLINE_SELL,0.04061983,0.04021765,0.00040218,0.04021765,0.04061983,17000.00,168.32,422699.98,RUB,422699.98,2018-06-13 19:16:03+00:00,SPECIFIC_BANK,L23318126BDVSDQ
23314295,2018-06-13 17:59:36+00:00,LOCAL_CHANGE,MMattLeeE,ONLINE_SELL,0.01930705,0.01911589,0.00019116,0.01911589,0.01930705,8000.00,79.21,418500.00,RUB,418500.00,,SPECIFIC_BANK,L23314295BDVPFB
23320923,2018-06-13 19:56:19+00:00,skatersam007,MMattLeeE,ONLINE_SELL,0.06442686,0.06378897,0.00063789,0.06378897,0.06442686,26600.00,263.37,416999.99,RUB,416999.99,2018-06-13 20:06:03+00:00,SPECIFIC_BANK,L23320923BDVUJF
23368366,2018-06-14 17:56:33+00:00,MMattLeeE,optimus_pr1me,ONLINE_BUY,0.40096618,0.40096618,0.00400966,0.39695652,0.39695652,166000.00,1660.00,418181.82,RUB,414000.00,2018-06-14 18:00:47+00:00,SPECIFIC_BANK,L23368366BDWV5A
23368949,2018-06-14 18:06:15+00:00,TurboBalo,MMattLeeE,ONLINE_SELL,0.02872370,0.02843931,0.00028439,0.02843931,0.02872370,12300.00,121.78,432499.94,RUB,432499.94,2018-06-14 18:08:20+00:00,SPECIFIC_BANK,L23368949BDWVLH
23368934,2018-06-14 18:05:59+00:00,Victor19777,MMattLeeE,ONLINE_SELL,0.04670520,0.04624277,0.00046243,0.04624277,0.04670520,20000.00,198.02,432500.04,RUB,432500.04,2018-06-14 18:09:26+00:00,SPECIFIC_BANK,L23368934BDWVL2
23368984,2018-06-14 18:06:42+00:00,sygo,MMattLeeE,ONLINE_SELL,0.24987283,0.24739884,0.00247399,0.24739884,0.24987283,107000.00,1059.41,432500.01,RUB,432500.01,2018-06-14 18:16:55+00:00,SPECIFIC_BANK,L23368984BDWVMG
23368743,2018-06-14 18:02:56+00:00,heg.10,MMattLeeE,ONLINE_SELL,0.07154166,0.07083333,0.00070833,0.07083333,0.07154166,30600.00,302.97,432000.02,RUB,432000.02,2018-06-14 18:20:04+00:00,SPECIFIC_BANK,L23368743BDWVFR
23372148,2018-06-14 18:59:09+00:00,MMattLeeE,BadLazer,ONLINE_BUY,0.16327838,0.16327838,0.00163278,0.16164560,0.16164560,68007.08,680.07,420717.17,RUB,416510.01,2018-06-14 19:12:01+00:00,SPECIFIC_BANK,L23372148BDWY2C
23373092,2018-06-14 19:15:36+00:00,Marshal56ru,MMattLeeE,ONLINE_SELL,0.03366666,0.03333333,0.00033333,0.03333333,0.03366666,14500.00,143.56,435000.04,RUB,435000.04,2018-06-14 19:18:43+00:00,SPECIFIC_BANK,L23373092BDWYSK
23373325,2018-06-14 19:20:15+00:00,Dobermann13,MMattLeeE,ONLINE_SELL,0.02786207,0.02758621,0.00027586,0.02758621,0.02786207,12000.00,118.81,434999.95,RUB,434999.95,2018-06-14 19:26:25+00:00,SPECIFIC_BANK,L23373325BDWYZ1
23373926,2018-06-14 19:30:17+00:00,slavaslava022,MMattLeeE,ONLINE_SELL,0.09750116,0.09653580,0.00096536,0.09653580,0.09750116,41800.00,413.86,432999.99,RUB,432999.99,2018-06-14 19:34:38+00:00,SPECIFIC_BANK,L23373926BDWZFQ
23433830,2018-06-15 19:38:56+00:00,MMattLeeE,XiphoneX,ONLINE_BUY,0.11731686,0.11731686,0.00117317,0.11614369,0.11614369,49331.74,493.32,424747.48,RUB,420500.00,2018-06-15 19:44:49+00:00,SPECIFIC_BANK,L23433830BDY9NQ
23435063,2018-06-15 20:02:54+00:00,Positif710,MMattLeeE,ONLINE_SELL,0.00360152,0.00356586,0.00003566,0.00356586,0.00360152,1600.00,15.84,448699.61,RUB,448699.61,2018-06-15 20:09:45+00:00,YANDEXMONEY,L23435063BDYALZ
23435224,2018-06-15 20:05:48+00:00,NightHook7777,MMattLeeE,ONLINE_SELL,0.00427680,0.00423446,0.00004234,0.00423446,0.00427680,1900.00,18.81,448699.48,RUB,448699.48,2018-06-15 20:12:36+00:00,YANDEXMONEY,L23435224BDYAQG
23435365,2018-06-15 20:08:38+00:00,De_Beauvoir,MMattLeeE,ONLINE_SELL,0.00270113,0.00267439,0.00002674,0.00267439,0.00270113,1200.00,11.88,448700.45,RUB,448700.45,2018-06-15 20:16:59+00:00,YANDEXMONEY,L23435365BDYAUD
23435987,2018-06-15 20:20:17+00:00,TypicT,MMattLeeE,ONLINE_SELL,0.00584856,0.00579065,0.00005791,0.00579065,0.00584856,2600.00,25.74,448999.68,RUB,448999.68,,YANDEXMONEY,L23435987BDYBBN
23436130,2018-06-15 20:22:41+00:00,MaxRol,MMattLeeE,ONLINE_SELL,0.00247439,0.00244989,0.00002450,0.00244989,0.00247439,1100.00,10.89,448999.75,RUB,448999.75,2018-06-15 20:26:51+00:00,YANDEXMONEY,L23436130BDYBFM
23436756,2018-06-15 20:34:36+00:00,theclassiclist,MMattLeeE,ONLINE_SELL,0.00329843,0.00326577,0.00003266,0.00326577,0.00329843,1450.00,14.36,443999.42,RUB,443999.42,,YANDEXMONEY,L23436756BDYBX0
23436688,2018-06-15 20:33:11+00:00,RakaMakaSul,MMattLeeE,ONLINE_SELL,0.01389908,0.01376147,0.00013761,0.01376147,0.01389908,6000.00,59.40,435999.93,RUB,435999.93,2018-06-15 20:35:34+00:00,SPECIFIC_BANK,L23436688BDYBV4
23436936,2018-06-15 20:38:13+00:00,ordnass,MMattLeeE,ONLINE_SELL,0.05817973,0.05760369,0.00057604,0.05760369,0.05817973,25000.00,247.53,433999.97,RUB,433999.97,2018-06-15 20:45:31+00:00,SPECIFIC_BANK,L23436936BDYC20
23436935,2018-06-15 20:38:12+00:00,likesmail,MMattLeeE,ONLINE_SELL,0.00591442,0.00585586,0.00005856,0.00585586,0.00591442,2600.00,25.74,443999.69,RUB,443999.69,2018-06-15 20:49:07+00:00,YANDEXMONEY,L23436935BDYC1Z
23437902,2018-06-15 20:57:22+00:00,MMattLeeE,bashnabash,ONLINE_BUY,0.01899038,0.01899038,0.00018990,0.01880048,0.01880048,7900.00,79.00,420202.04,RUB,416000.10,2018-06-15 21:00:55+00:00,SPECIFIC_BANK,L23437902BDYCSU
23435110,2018-06-15 20:03:50+00:00,Elena13101992,MMattLeeE,ONLINE_SELL,0.00303878,0.00300869,0.00003009,0.00300869,0.00303878,1350.00,13.37,448700.26,RUB,448700.26,,YANDEXMONEY,L23435110BDYANA
23438640,2018-06-15 21:13:09+00:00,Brz666,MMattLeeE,ONLINE_SELL,0.04675926,0.04629630,0.00046296,0.04629630,0.04675926,20000.00,198.02,431999.97,RUB,431999.97,,SPECIFIC_BANK,L23438640BDYDDC
23632171,2018-06-19 22:16:36+00:00,bitpul,MMattLeeE,ONLINE_SELL,0.04677239,0.04630930,0.00046309,0.04630930,0.04677239,19913.00,197.16,430000.02,RUB,430000.02,,SPECIFIC_BANK,L23632171BE2IP7
23632296,2018-06-19 22:20:29+00:00,Tasash2208,MMattLeeE,ONLINE_SELL,0.00391810,0.00387931,0.00003879,0.00387931,0.00391810,1800.00,17.82,464000.04,RUB,464000.04,,YANDEXMONEY,L23632296BE2ISO
23961640,2018-06-26 15:16:01+00:00,izym888,MMattLeeE,ONLINE_SELL,0.00369513,0.00365854,0.00003659,0.00365854,0.00369513,1500.00,14.85,409999.62,RUB,409999.62,,YANDEXMONEY,L23961640BE9KX4
23961324,2018-06-26 15:11:31+00:00,3065081,MMattLeeE,ONLINE_SELL,0.00566586,0.00560976,0.00005610,0.00560976,0.00566586,2300.00,22.77,409999.71,RUB,409999.71,2018-06-26 15:22:28+00:00,YANDEXMONEY,L23961324BE9KOC
23962682,2018-06-26 15:32:48+00:00,Opilopo,MMattLeeE,ONLINE_SELL,0.00317780,0.00314634,0.00003146,0.00314634,0.00317780,1290.00,12.77,410000.19,RUB,410000.19,2018-06-26 15:39:06+00:00,YANDEXMONEY,L23962682BE9LQ2
23990527,2018-06-27 05:44:57+00:00,MMattLeeE,jeffrey000,ONLINE_BUY,0.02750000,0.02750000,0.00027500,0.02722500,0.02722500,11000.00,110.00,404040.40,RUB,400000.00,2018-06-27 06:07:07+00:00,YANDEXMONEY,L23990527BEA77J
23991552,2018-06-27 06:32:41+00:00,bitpul,MMattLeeE,ONLINE_SELL,0.06515277,0.06450769,0.00064508,0.06450769,0.06515277,25158.00,249.09,390000.01,RUB,390000.01,,SPECIFIC_BANK,L23991552BEA800
23991888,2018-06-27 06:48:23+00:00,vi015243,MMattLeeE,ONLINE_SELL,0.06474359,0.06410256,0.00064103,0.06410256,0.06474359,25000.00,247.53,390000.02,RUB,390000.02,2018-06-27 06:53:49+00:00,SPECIFIC_BANK,L23991888BEA89C
24030602,2018-06-27 21:25:29+00:00,MMattLeeE,filmin80,ONLINE_BUY,0.10000000,0.10000000,0.00100000,0.09900000,0.09900000,38300.00,383.00,386868.69,RUB,383000.00,,SPECIFIC_BANK,L24030602BEB24Q
24031048,2018-06-27 21:37:21+00:00,MMattLeeE,iva777iva,ONLINE_BUY,0.20103914,0.20103914,0.00201039,0.19902875,0.19902875,77000.00,770.00,386878.78,RUB,383009.99,2018-06-27 21:42:54+00:00,SPECIFIC_BANK,L24031048BEB2H4
24031329,2018-06-27 21:45:25+00:00,BigBenSpb,MMattLeeE,ONLINE_SELL,0.01267252,0.01254705,0.00012547,0.01254705,0.01267252,5000.00,49.50,398500.05,RUB,398500.05,2018-06-27 21:50:04+00:00,SPECIFIC_BANK,L24031329BEB2OX
24031386,2018-06-27 21:46:50+00:00,mr.robbut,MMattLeeE,ONLINE_SELL,0.01520702,0.01505646,0.00015056,0.01505646,0.01520702,6000.00,59.40,398500.05,RUB,398500.05,,SPECIFIC_BANK,L24031386BEB2QI
24031583,2018-06-27 21:52:29+00:00,DarkArisu,MMattLeeE,ONLINE_SELL,0.01520702,0.01505646,0.00015056,0.01505646,0.01520702,6000.00,59.40,398500.05,RUB,398500.05,,SPECIFIC_BANK,L24031583BEB2VZ
24031561,2018-06-27 21:51:47+00:00,krot7,MMattLeeE,ONLINE_SELL,0.01520702,0.01505646,0.00015056,0.01505646,0.01520702,6000.00,59.40,398500.05,RUB,398500.05,2018-06-27 21:55:06+00:00,SPECIFIC_BANK,L24031561BEB2VD
24031434,2018-06-27 21:48:10+00:00,Svetafo,MMattLeeE,ONLINE_SELL,0.01520702,0.01505646,0.00015056,0.01505646,0.01520702,6000.00,59.40,398500.05,RUB,398500.05,2018-06-27 21:58:16+00:00,SPECIFIC_BANK,L24031434BEB2RU
